web-scraper-order,web-scraper-start-url,link,link-href,info,info-href,loupan,dizhi,leixing,jibie,jiejian,wuyefei,kongtiaoleixing,ketishu,huotishu,cheweiyuezujin,dishangcheweishu,wangluotongxun,dixiacheweishu,wuyegongsi,louneipeitao,companies,security,floors,year,zongmianji,biaozhuncengmianji,biaozhuncenggao,Dixiachewei,jinggao,kaifashang,datangcenggao,shewai,kezhuce,kaijianmianji,waiqiang,rent
"1529420987-2670","https://sh.xzl.anjuke.com/loupan/p21/","宝华国际广场","/loupan/10826?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10826","宝华国际广场","静安-彭浦-广中西路555号","写字楼","甲级","宝华国际广场与广中西路、大宁绿地紧邻，充分利用大宁灵石公园的有利自然环境，与大型娱乐休闲购物中心、闸北体育场、上海马戏城联手打造优尚的生活品质。该项目总建筑面积为56467.9平方米，由一栋25层办公楼和6栋2~3层小办公楼组成。利用高差的设计和各建筑之间的空隙，将下沉庭院与南侧的城市绿化及大宁绿地连为一体，打造出安静怡人的办公环境。","25元/平米•月","集中式中央空调","5部","1部","1000元/月","30个","电信、联通、长城、铁通、移动、卫通、有线通","320个","上海安荣物业管理有限公司","食堂、银行、ATM、便利店、商务中心、会议室","企业名称：上海乐兔网络科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：宝华集团，所属行业：房地产/建筑、企业名称：真旅网，所属行业：计算机/互联网/通信/电子、企业名称：新华资本，所属行业：会计/金融/银行/保险、企业名称：绍兴集团，所属行业：专业服务/教育/培训","食堂、银行、ATM、便利店、商务中心、会议室","23层","2011年3月","58602m²","1475m²","3米","320个","3米","上海全存置业有限公司","8米","是","是","115m²、120m²、130m²、140m²、350m²","玻璃幕墙","5.07元/m²•天"
"1529423449-3181","https://sh.xzl.anjuke.com/loupan/p4/","世博宝钢大厦","/loupan/400409?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/400409","世博宝钢大厦","浦东-世博-浦东世博大道1859号","写字楼","甲级","暂无数据","35元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","仲量联行","暂无","暂无","暂无","24层","2011年07月","暂无","暂无","暂无","暂无","暂无","宝钢集团(上海)置业有限公司","暂无","是","是","暂无","暂无","6.08元/m²•天"
"1529414320-1541","https://sh.xzl.anjuke.com/loupan/p58/","复地四季广场","/loupan/156281?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/156281","复地四季广场","杨浦-控江-长阳路1568号","商业综合体","甲级","复地·四季广场是集餐饮休闲、教育培训、零售展示、创意办公为一体，同时结合“国际连锁加盟产业中心”功能平台的创新型社区商业地标。 
复地·四季广场位于杨浦区长阳路以南，河间路以北，宁国路以西，眉州路以东的围合区域，属于杨浦中南部的核心地区。地铁12号线宁国路出口就在园区内，是地铁上盖的商业项目。","10元/平米•月","集中式中央空调","1部","1部","800元/月","415个","暂无","暂无","复地物业管理公司","银行、ATM、餐饮、便利店、干洗店、商务中心、会议室","暂无","银行、ATM、餐饮、便利店、干洗店、商务中心、会议室","6层","2010年3月","58000m²","3800m²","4.5米","暂无","3米","复地集团","5.5米","是","是","110m²","大理石","3.89元/m²•天"
"1529410842-984","https://sh.xzl.anjuke.com/loupan/p77/","新城悠活城","/loupan/340384?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/340384","新城悠活城","嘉定-嘉定新城-红石路333弄","商业综合体","甲级","暂无数据","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","暂无数据"
"1529407057-263","https://sh.xzl.anjuke.com/loupan/p101/","永新商务楼","/loupan/44842?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/44842","永新商务楼","黄浦-打浦桥-瞿溪路","写字楼","乙级","永新大厦总建筑面积32400平方米，楼高12层，地下二层，净高58米。大厦位于卢湾区淮海中路527号，隶属淮海路商圈，交通便捷，临近轨道交通1号线，在设计方面，永新大厦造型方圆相济，构思精妙，将古典建筑语言与现代商业气息巧妙结合，独具典雅庄重的风采。为商贾云集的淮海路新增了一抹亮丽而又绚丽的色彩","8元/平米•月","半集中式中央空调、分体空调","3部","1部","450元/月","35个","电信、联通、长城、移动","85个","暂无","餐饮、便利店、干洗店、商务中心、会议室","企业名称：休斯木材，所属行业：能源/原材料","餐饮、便利店、干洗店、商务中心、会议室","15层","2001年3月","32400m²","2000m²","2.9米","85个","2.7米","恒兴房地产有限公司","4.5米","是","是","120m²","大理石","暂无数据"
"1529408486-550","https://sh.xzl.anjuke.com/loupan/p91/","远洋大厦","/loupan/12003?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/12003","远洋大厦","静安-火车站-东大名路378号","写字楼","甲级","远洋大厦矗立于北外滩航运街之龙头，濒临黄浦江，与东方明珠、上海国际会议中心隔江相望，现在已成为外宾和国内各地政府考察智能建筑的首选。在这座大楼被设计单位称为“世界最繁忙的办公楼”的楼宇里面，处处体现智能管理：上班高峰期六台中的四台电梯下行直达、结合消防措施的楼面和办公室双层门禁系统、早上上下班自动关灯节能系统。","30元/平米•月","集中式中央空调","7部","2部","1000元/月","暂无","暂无","296个","上海上远物业管理有限公司","银行、餐饮","企业名称：上海方圆服装辅料公司，所属行业：贸易/消费/制造/营运、企业名称：博格建筑规划设计有限公司，所属行业：房地产/建筑、企业名称：中远物业管理发展有限公司，所属行业：房地产/建筑、企业名称：上海市滨海建筑设计事物所，所属行业：房地产/建筑","银行、餐饮","27层","暂无","31500m²","1355m²","3米","296个","2.7米","中远集装箱运输有限公司","6米","是","是","2706200m²","花岗石","暂无数据"
"1529422569-3000","https://sh.xzl.anjuke.com/loupan/p10/","大虹桥国际中心","/loupan/398652?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/398652","大虹桥国际中心","闵行-莘庄-黎安路999号","写字楼","甲级","暂无数据","28元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","中建信控股集团","暂无","暂无","暂无","28层","2016年12月","暂无","暂无","暂无","暂无","暂无","中建信控股集团","暂无","是","是","暂无","暂无","4.36元/m²•天"
"1529412725-1288","https://sh.xzl.anjuke.com/loupan/p67/","汾阳路3号","/loupan/156087?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/156087","汾阳路3号","徐汇-衡山路-汾阳路3号","商业综合体","乙级","项目位于上海传统市中心最核心地段汾阳路、淮海中路，东西临街对面分别是新鸿基ICC项目和上海音乐学院。其中包含三幢建筑，1号楼层高4.8米，标准层750㎡；2号楼层高3.5米，标准层513㎡，3号楼为沿襄阳路3-4层商铺。投资商重新对项目进行内外装修，外立面是传统法式建筑风格，全石材设计，外观厚重。","28元/平米•月","集中式中央空调","2部","1部","1800元/月","15个","电信、移动","65个","申大物业管理公司","ATM、餐饮、便利店","企业名称：上海国际交流有限公司，所属行业：专业服务/教育/培训、企业名称：基础教育杂志编辑部，所属行业：广告/媒体、企业名称：上海润坤商贸发展有限公司分公司，所属行业：贸易/消费/制造/营运、企业名称：教育宾馆，所属行业：专业服务/教育/培训、企业名称：上海市高等师范三结合培训办公室，所属行业：专业服务/教育/培训","ATM、餐饮、便利店","7层","2011年5月","10781m²","750m²","4.8米","65个","3米","上海华东师范大学教育发展基金会","33米","是","是","150m²、513m²、750m²","大理石","7.1元/m²•天"
"1529405934-17","https://sh.xzl.anjuke.com/loupan/p110/","建华大楼","/loupan/10763?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10763","建华大楼","静安-曹家渡-万航渡路623弄85-2号","写字楼","乙级","建华大楼位于万航渡路,交通便捷、租金合理、设施齐全、装修现代、物业管理周到、为商家提供一流的商务服务、房型布局合理、灵活分割可满足各企业人性化的设计追求、是企业领袖精明睿智之选择","10元/平米•月","分体空调","1部","1部","350元/月","15个","电信、联通、长城、铁通、移动、有线通","暂无","暂无","ATM、便利店、干洗店、会议室","企业名称：上海bpa(助者)机电设备有限公司，所属行业：会计/金融/银行/保险、企业名称：上海服装集团置业有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海顺翱贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海业专堂贸易发展有限公司，所属行业：贸易/消费/制造/营运、企业名称：上明隆医疗机械有限公司，所属行业：贸易/消费/制造/营运","ATM、便利店、干洗店、会议室","7层","2000年5月","7000m²","1000m²","3.2米","暂无","2.5米","上海服装集团置业有限公司","3米","否","是","1m²、002m²、005m²、001m²、000m²","涂料","暂无数据"
"1529422751-3038","https://sh.xzl.anjuke.com/loupan/p9/","城开国际大厦","/loupan/10237?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10237","城开国际大厦","徐汇-徐家汇-虹桥路355号","写字楼","甲级","城开国际大厦坐落于徐家汇商圈核心地段红桥路、广元西路交界口，为徐家汇地区最后一块，也是最重要的一块商业综合地块DD“徐家汇中心”的首期项目。该项目毗邻港汇广场，总建筑面积约47000平方米，地下2层，地上15层，一楼为大堂及商业配套设施，2-15层为超甲级智能化写字楼。大厦B2层与地铁1、9号线11号线徐家汇站直接相连，并可一线换乘所有13条地铁轻轨线路，周边公交线路覆盖周密，方圆1.5平方公里内","28元/平米•月","集中式中央空调","6部","2部","1500元/月","暂无","电信、联通、铁通、移动、卫通","200个","上海金茂英泰物业管理有限公司","银行、ATM、商务中心、会议室","企业名称：中国银行徐汇支行，所属行业：会计/金融/银行/保险、企业名称：强生(中国)投资有限公司，所属行业：政府/非赢利机构/其他、企业名称：强生（上海）医疗器材有限公司，所属行业：贸易/消费/制造/营运、企业名称：爱克发医疗系统设备（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：悦游计算机软件开发（上海）有限公司，所属行业：计算机/互联网/通信/电子、企业名称：利士包装，所属行业：广告/媒体、企业名称：三星中国投资有限公司上海分公公司，所属行业：计算机/互联网/通信/电子","银行、ATM、商务中心、会议室","15层","2007年11月","45430m²","2499m²","3.5米","200个","2.7米","上海城开（集团）有限公司","20米","是","是","1m²、103m²、001m²、000m²","玻璃幕墙","6.3元/m²•天"
